# Table 21: Historic Data (1995-1999): Book production: Number of titles by UDC classes
Country,Total,Total,Total,Total,Total,Generalities,Generalities,Generalities,Generalities,Generalities,"Philosophy, Psychology","Philosophy, Psychology","Philosophy, Psychology","Philosophy, Psychology","Philosophy, Psychology","Religion, Theology","Religion, Theology","Religion, Theology","Religion, Theology","Religion, Theology",Social Sciences,Social Sciences,Social Sciences,Social Sciences,Social Sciences,Philology,Philology,Philology,Philology,Philology,Pure Sciences,Pure Sciences,Pure Sciences,Pure Sciences,Pure Sciences,Applied Sciences,Applied Sciences,Applied Sciences,Applied Sciences,Applied Sciences,Arts and Recreation,Arts and Recreation,Arts and Recreation,Arts and Recreation,Arts and Recreation,Literature,Literature,Literature,Literature,Literature,Geography / History,Geography / History,Geography / History,Geography / History,Geography / History
Faeroe Islands,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Fiji,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Finland,13494,13104,12717,12887,13173,315,325,316,253,294,266,240,248,221,238,390,355,313,319,318,3385,3189,3176,2986,3068,438,411,316,355,364,1212,1215,1183,1148,1169,3537,3477,3554,3188,3252,870,807,792,746,760,1947,1898,1851,1945,2144,1134,1187,968,1726,1566
France,34766,49123,45453,47916,39083,706,756,1068,1765,5226,1392,2040,2051,2138,...,1252,1690,1514,1562,1214,7315,9608,7738,7031,8810,877,1069,1033,1082,313,1576,2223,1889,2052,...,4120,6265,5822,6178,2791,2620,4088,4132,4399,1316,10545,15454,14663,15695,12013,4363,5930,5543,6014,7400
Gabon,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Gambia,...,14,...,10,...,...,-,...,...,...,...,-,...,...,...,...,-,...,...,...,...,10,...,6,...,...,-,...,...,...,...,-,...,1,...,...,2,...,1,...,...,-,...,1,...,...,-,...,1,...,...,2,...,...,...
Georgia,1104,581,...,...,697,574,4,...,...,476,17,17,...,...,14,17,18,...,...,17,81,124,...,...,84,23,38,...,...,14,36,49,...,...,16,67,74,...,...,7,10,16,...,...,4,216,190,...,...,65,63,51,...,...,-
Germany,74174,71515,77889,78042,...,6991,6287,...,...,...,3861,3580,...,...,...,3637,3718,...,...,...,16816,16210,...,...,...,-,-,...,...,...,2637,2756,...,...,...,10410,10550,...,...,...,6810,5921,...,...,...,13571,12798,...,...,...,9441,9695,...,...,...
Ghana,...,...,...,7,...,...,...,...,-,...,...,...,...,-,...,...,...,...,-,...,...,...,...,3,...,...,...,...,2,...,...,...,...,1,...,...,...,...,1,...,...,...,...,-,...,...,...,...,-,...,...,...,...,-,...
Gibraltar,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Greece,4134,4225,4067,...,...,152,166,139,...,...,98,83,119,...,...,204,242,208,...,...,613,659,596,...,...,190,131,156,...,...,254,363,239,...,...,287,300,318,...,...,284,282,296,...,...,1598,1595,1568,...,...,454,404,428,...,...
Greenland,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Grenada,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Guam,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Guatemala,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Guinea,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Guinea-Bissau,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Guyana,...,42,25,...,...,...,3,3,...,...,...,-,-,...,...,...,2,2,...,...,...,23,13,...,...,...,-,-,...,...,...,1,2,...,...,...,1,1,...,...,...,3,1,...,...,...,4,1,...,...,...,5,2,...,...
Haiti,340,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Holy See,298,228,...,...,...,-,-,...,...,...,48,38,...,...,...,198,105,...,...,...,42,78,...,...,...,1,2,...,...,...,-,-,...,...,...,-,-,...,...,...,2,-,...,...,...,-,5,...,...,...,7,-,...,...,...
Honduras,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Hungary,9314,9193,9343,11306,10352,207,399,320,196,290,306,336,393,454,378,468,394,361,615,593,1376,1313,1395,1456,1121,438,478,684,541,602,649,602,614,787,854,1483,1446,1390,1832,1609,598,534,482,670,565,3064,2717,2663,3642,3338,725,974,1041,1113,1002
Iceland,1522,1527,1652,1796,...,29,29,23,44,...,25,30,26,27,...,65,43,49,46,...,331,354,435,476,...,105,124,149,150,...,94,114,121,140,...,169,168,192,192,...,122,107,105,138,...,438,414,403,444,...,144,144,149,139,...
India,11643,11903,12006,14085,...,382,505,359,406,...,377,354,411,408,...,948,764,927,1150,...,2501,2504,2474,3350,...,150,256,220,275,...,486,593,465,570,...,1278,1314,876,760,...,274,298,252,573,...,4078,4423,4979,5294,...,1169,892,1043,1299,...
Indonesia,...,4018,1902,537,121,...,245,78,13,17,...,82,42,9,...,...,438,226,17,...,...,805,523,117,88,...,263,141,12,...,...,497,170,145,...,...,749,402,69,16,...,115,56,72,...,...,480,176,5,...,...,144,88,78,...
